l_name,email,f_name,age,salary,height,interest,country,is_dirty
Baja,ufl.edu,Vijnan,51,56450,168,Poker,Tunisia,0
Ferragina,uqam.ca,Calton,18,64995,160,Programming,Libya,0
Dabdub,cornell.edu,Kendra,31,43711,166,Blogging,Turkey,0
Schwarzler,twsu.edu,Grey,47,56608,171,Volleyball,Saint Vincent and the Grenadines,0
Dumke,intersys.com,Ghassan,58,41748,165,Photography,Angola,0
Kochs,purdue.edu,Shane,18,43849,175,Cinema,Ivory Coast,0
Monteverde,computer.org,Grigore,23,57392,183,Writing,Burkina,0
Narasimhan,auc.dk,Mourad,55,45598,171,Running,South Sudan,0
Miara,sun.com,Vugranam,38,66145,180,Poker,Guinea,0
Kading,zambeel.com,Raymund,38,32940,168,Photography,Nauru,0
Keaton,unbc.ca,Boban,30,64393,160,Blogging,Argentina,0
Ulmer,earthlink.net,Todd,38,52598,182,Reading,Pakistan,0
Wilk,cti.gr,Lowell,26,39875,170,Hockey,New Zealand,0
Lorcy,auth.gr,Guglielmo,50,60272,172,Skating,Korea North,0
Dalmare,uwaterloo.ca,Kazimierz,18,81044,163,Gaming,Honduras,0
Yingchun,mit.edu,Neveenta,41,55153,155,Soccer,Lebanon,0
Nanadikar,cwi.nl,Lars,41,68000,158,Drawing,Cape Verde,0
Gurzi,ernet.in,Sridhar,38,61343,171,Swimming,Trinidad and Tobago,0
Prinz,umich.edu,Shivi,33,42925,173,Sculpting,Paraguay,0
Bramson,nwu.edu,Kirack,48,73922,165,Tennis,Equatorial Guinea,0
Sandkuhl,llnl.gov,Pozung,18,38415,159,Travelling,Saint Vincent and the Grenadines,0
Bitar,uu.se,Vasant,18,38861,169,Swimming,Hungary,0
Durst,sybase.com,Patricio,21,49934,155,Cinema,Cape Verde,0
Seliger,uni-trier.de,Moheb,49,62142,184,Volleyball,Palau,0
Greefhorst,uni-muenster.de,Leendert,41,66342,175,Programming,Cambodia,0
Newstead,ac.be,Soohong,23,44452,172,Football,United Kingdom,0
Wong,concordia.ca,Mauri,18,53733,160,Cinema,Congo,0
Nitsche,poznan.pl,Rufus,18,45508,162,Blogging,France,0
Baggiolini,crossgain.com,Lucio,41,60117,155,Cinema,Egypt,0
McCloskey,dec.com,Iliano,28,60704,172,Running,Cuba,0
Treloar,baylor.edu,Hanspeter,33,42267,155,Football,Moldova,0
Canepa,uregina.ca,Nico,18,36706,187,Singing,Vanuatu,0
Kohli,cnr.it,Yibing,36,34493,156,Photography,Bolivia,0
Evershed,uni-muenchen.de,Yoni,18,54600,158,Swimming,Taiwan,0
Bruck,emc.com,Vaggelis,45,53691,166,Tennis,Lesotho,0
Kazakos,usa.net,Gavriela,22,42559,162,Drums,Maldives,0
Batenin,att.com,Saumya,71,53292,181,Basketball,Dominica,0
Fanchon,unbc.ca,Aaron,45,41811,168,Piano,Jordan,0
Razborov,labs.com,Sekhar,48,37406,168,Travelling,Seychelles,0
Stougie,uwindsor.ca,Sunghyun,34,40216,165,Swimming,Monaco,0
Guha,sybase.com,Bina,18,43271,183,Poker,South Africa,0
Grieszl,gatech.edu,Igor,29,58649,170,Running,Vatican City,0
Schoning,usa.net,Aspassia,35,46659,179,Writing,Poland,0
Smotroff,memphis.edu,Nese,27,57819,181,Cinema,Togo,0
Stuurman,brandeis.edu,Aarne,28,51723,165,Photography,Iceland,0
Ciardo,csufresno.edu,Yiming,20,29395,177,Piano,Kazakhstan,0
Strzalkowski,crossgain.com,Marcelino,34,61183,155,Basketball,Australia,0
Ronchette,uqam.ca,Mingzeng,31,35878,159,Volleyball,Honduras,0
Medvidovic,columbia.edu,Xianjing,32,40176,155,Hockey,Somalia,0
Mintchev,compaq.com,Hon,28,40341,178,Basketball,Rwanda,0
Baur,computer.org,Calton,37,62315,160,Guitar,Afghanistan,0
Marotta,ucf.edu,Martha,49,52041,171,Gaming,Czech Republic,0
Zastre,savera.com,Dipanwita,18,58169,168,Basketball,Niger,0
Cichon,sunysb.edu,Erik,20,68197,163,Gaming,Papua New Guinea,0
Weisman,telcordia.com,Taoufik,38,54167,168,Sculpting,Democratic Republic of Congo,0
Dilger,msn.com,Kouchi,39,52929,174,Running,Saudi Arabia,0
Sundgren,sdsc.edu,Ernestine,18,36612,167,Photography,China,0
Derochette,cmu.edu,Kokou,44,42310,168,Piano,Chad,0
Abella,verity.com,Gian,21,57600,169,Drums,Latvia,0
Challab,memphis.edu,Ebrahim,23,30953,174,Cinema,Sweden,0
Cosoroaba,ac.uk,Laif,40,61630,165,Soccer,Maldives,0
Terrat,tue.nl,Gajendra,32,62091,155,Piano,Namibia,0
Horvitz,imag.fr,Bastien,37,68630,155,Drums,Burundi,0
Winsborough,sds.no,Julian,39,43553,164,Cinema,Panama,0
Whelan,cabofalso.com,Nga,18,52320,179,Swimming,Palau,0
Milos,indiana.edu,Sterling,36,42428,162,Photography,Peru,0
Cuatto,nodak.edu,Qingyu,24,66555,155,Skating,Austria,0
Newbery,sbphrd.com,Myongsu,44,41205,159,Piano,Hungary,0
Rahm,ibm.com,Wilfredo,29,44627,178,Sculpting,India,0
Ozeri,cti.gr,Alexis,35,50763,167,Soccer,Belarus,0
Plantinga,informix.com,Wagish,54,42935,159,Cinema,Denmark,0
Greif,concentric.net,Joe,18,55079,158,Skating,Mozambique,0
Wohlfarth,rice.edu,Dayne,29,55081,155,Cinema,Jordan,0
Collings,hp.com,Declan,18,42815,184,Basketball,Germany,0
Grabow,ernet.in,Wenguang,33,52354,165,Piano,Jamaica,0
Flewelling,sfu.ca,Sonal,34,32398,173,Tennis,Uzbekistan,0
Galbiati,unl.edu,Enrique,52,45717,178,Gaming,Niger,0
Snedden,cornell.edu,Katharine,18,45731,177,Photography,United Arab Emirates,0
Katona,zambeel.com,Rajkumar,35,44626,176,Football,Bulgaria,0
Hotzel,earthlink.net,Shekar,18,49515,181,Drums,Ethiopia,0
Baowen,uga.edu,Mingdong,46,65186,164,Writing,Dominica,0
Hobby,llnl.gov,Madge,30,45297,180,Sculpting,Brunei,0
Delaune,poznan.pl,Bassel,18,53664,183,Swimming,Niger,0
Senator,newpaltz.edu,Rosemarie,18,51491,156,Volleyball,Uganda,0
Halewood,sdsc.edu,Ileana,30,57286,170,Running,Tonga,0
Rothnie,duke.edu,Tuomas,18,44908,171,Reading,Mauritania,0
Hofting,ibm.com,Erdogan,56,50043,185,Skating,Moldova,0
Bird,sds.no,Hongxing,52,29429,163,Volleyball,Singapore,0
Potorti,lbl.gov,Leliane,18,37837,180,Reading,Mexico,0
Calvin,brandeis.edu,Xuhua,53,35163,166,Running,Honduras,0
Smaga,monmouth.edu,Gianpaolo,28,44436,181,Gaming,East Timor,0
Ventura,uta.edu,Efstathios,25,40765,162,Volleyball,Kyrgyzstan,0
Giles,unl.edu,Denny,18,42816,155,Gaming,Pakistan,0
Backhouse,intersys.com,Raphael,18,48596,180,Basketball,Jamaica,0
Korshunov,sybase.com,Tassadit,22,57644,164,Drawing,Belgium,0
Toussaint,utexas.edu,Karima,18,54442,180,Tennis,Burundi,0
Delugach,intersys.com,Subhash,35,53938,157,Painting,Greece,0
Quiles,telcordia.com,Montserrat,40,37444,179,Drawing,Rwanda,0
Dage,cohera.com,Jan,46,42088,187,Soccer,Afghanistan,0
Abrahao,cwru.edu,Shawna,35,63366,155,Photography,Sri Lanka,0
Ricarte,uwaterloo.ca,Raymoond,25,50479,173,Soccer,Botswana,0
Wyckof,uni-marburg.de,Belli,18,52074,170,Volleyball,Marshall Islands,0
Gibson,yorku.ca,Leon,27,40235,167,Football,Chad,0
Birta,sbphrd.com,Nadjiba,36,67115,172,Soccer,Gambia,0
Barnholdt,njit.edu,Mandaly,51,47870,163,Sculpting,Central African Rep,0
Bodla,msstate.edu,Oscal,19,47418,167,Drums,Andorra,0
Gracer,sds.no,Theirry,32,57179,166,Singing,Monaco,0
Ghidini,edu.hk,Giangiacomo,18,62281,158,Poker,Papua New Guinea,0
Nastov,indiana.edu,Omer,30,57844,171,Piano,Ethiopia,0
Schwarzler,savera.com,Johanne,35,58129,188,Drawing,Hungary,0
Sorgatz,lante.com,Carrie,49,50354,171,Blogging,Switzerland,0
Cheriton,auc.dk,Alak,19,51095,165,Travelling,Chad,0
Birsak,ac.kr,Keun,50,59665,168,Poker,Uruguay,0
Rassart,hitachi.com,Yusaku,67,44320,185,Piano,Saint Vincent and the Grenadines,0
Hartrumpf,co.jp,Mizuko,22,35679,158,Piano,Malaysia,0
Klevans,uwindsor.ca,Quentin,53,46438,173,Sculpting,Barbados,0
DeBellis,ucsd.edu,Haojin,43,38412,170,Writing,St Kitts and Nevis,0
Chubb,duke.edu,Yanjie,18,33919,167,Reading,Qatar,0
Bordogna,sfu.ca,Zhixing,28,53159,176,Programming,Serbia,0
McEneaney,uwo.ca,Eneko,21,55203,169,Programming,East Timor,0
Yach,clarkson.edu,Dirceu,35,67159,157,Running,New Zealand,0
Clint,verity.com,Boudewijn,18,49055,158,Writing,Iran,0
Winograd,ntua.gr,Taekyong,35,49183,176,Football,Moldova,0
Dunham,ac.at,Donall,51,63047,182,Football,Iceland,0
Kolaitis,cornell.edu,Krichnakumar,28,39588,159,Photography,Djibouti,0
Ternovskaia,concordia.ca,Christino,18,59184,176,Travelling,Angola,0
Meriste,sbphrd.com,Arlan,54,59544,167,Drawing,San Marino,0
Soderlund,hitachi.com,Paraskevi,18,58551,161,Football,Malaysia,0
Cornu,msn.com,Sherif,39,44507,176,Skating,Guinea-Bissau,0
Megrelis,cwru.edu,AbdelAli,18,45953,157,Running,Lebanon,0
Ranta,purdue.edu,Guoping,33,60478,159,Gaming,Mauritius,0
Blakeman,mitre.org,Yoshikatsu,56,60977,178,Painting,Sao Tome and Principe,0
Cashman,cti.gr,Derek,50,48688,160,Travelling,Brunei,0
Hylton,att.com,Ming,33,32804,163,Volleyball,San Marino,0
Kurematsu,wpi.edu,Amalendu,54,39933,182,Travelling,Madagascar,0
Vollamr,rpi.edu,Petru,22,61373,176,Poker,Turkey,0
Devitt,verity.com,Yongdong,18,52238,170,Swimming,Ivory Coast,0
Capon,rwth-aachen.de,Sungchae,54,57214,155,Drawing,Korea South,0
Capobianchi,ac.jp,Renate,45,59649,164,Running,Lesotho,0
Olveszky,pitt.edu,Praful,18,48633,159,Guitar,Somalia,0
Nixon,mit.edu,Nasir,30,54074,179,Drums,Colombia,0
Muzio,sfu.ca,Sadok,42,51692,174,Hockey,El Salvador,0
Lattin,cas.cz,Bingchiang,26,30231,165,Football,Papua New Guinea,0
Mundy,cmu.edu,Ippolito,27,55058,163,Sculpting,Liberia,0
Travis,arizona.edu,Luiz,18,46970,173,Drawing,Ghana,0
Peha,msstate.edu,Kazushi,18,47552,157,Gaming,Angola,0
Demke,unf.edu,Ryotaro,40,58540,166,Reading,Brazil,0
Gniady,umass.edu,Azad,51,41206,166,Blogging,Dominica,0
Iciki,infomix.com,Kunihiro,26,29839,181,Piano,Czech Republic,0
Alpin,ac.kr,Slava,37,63705,159,Painting,Belgium,0
Gershman,smu.edu,Junzo,19,43931,155,Programming,Japan,0
Farrar,washington.edu,Maire,29,59625,155,Guitar,Mali,0
Bolliger,sybase.com,Anja,33,54612,176,Guitar,Chad,0
Cambanis,utexas.edu,Maren,18,58177,182,Tennis,Jamaica,0
Peron,ogi.edu,Yehudit,25,45458,169,Hockey,Greece,0
Lukasiewicz,llnl.gov,Alexius,30,33912,156,Singing,Nigeria,0
Rychly,intersys.com,Nahum,57,64000,165,Blogging,Lesotho,0
Schuschel,poly.edu,Calogero,29,65621,159,Writing,Norway,0
Bate,nyu.edu,Maryse,41,59199,155,Soccer,Paraguay,0
Duong,okcu.edu,Jeannie,18,49004,157,Piano,Estonia,0
Brancadori,co.in,Masaski,22,51665,169,Running,Marshall Islands,0
Koester,verity.com,Atsushi,26,62953,155,Drums,Myanmar,0
Naumovich,auc.dk,Jocob,83,59974,161,Hockey,China,0
Maeder,telcordia.com,Minsuk,31,52215,177,Football,Papua New Guinea,0
Galtieli,dauphine.fr,Swaroop,24,51309,162,Volleyball,Sri Lanka,0
Kochskamper,forth.gr,Swati,45,62131,172,Soccer,Samoa,0
Fraenkel,sfu.ca,Martyne,61,52507,179,Singing,Brazil,0
Haraguchi,wisc.edu,Alf,18,53391,169,Swimming,Montenegro,0
Hansmann,umb.edu,Miomir,29,66153,165,Swimming,Ethiopia,0
Nikander,memphis.edu,Nasi,26,26572,169,Hockey,Brunei,0
Farinha,rice.edu,Juregn,18,54291,158,Running,Tonga,0
Strasser,stanford.edu,Irith,18,45789,166,Piano,United Kingdom,0
Malabarba,ac.be,Harman,46,52070,166,Guitar,Hungary,0
Neuwirth,microsoft.com,Baoqiu,29,43536,180,Singing,Bosnia Herzegovina,0
Slimani,microsoft.com,Hisanori,18,44338,189,Writing,Kyrgyzstan,0
Callen,lri.fr,Chulwoo,24,53683,167,Photography,Angola,0
Ying,njit.edu,Mihalis,45,42968,156,Singing,Sierra Leone,0
Rinschede,intersys.com,Cong,45,45635,164,Skating,Iran,0
Ackroyd,att.com,Fan,18,54878,155,Gaming,Uzbekistan,0
Maleki,uni-sb.de,Jichiang,18,57621,159,Swimming,Guatemala,0
Dunbar,brown.edu,Luigi,36,56004,165,Volleyball,Tanzania,0
Bordawekar,umich.edu,Akhtar,35,61431,175,Sculpting,Argentina,0
Wheeler,pi.it,Richard,18,55683,175,Travelling,Korea North,0
Brandsma,indiana.edu,Pirjo,33,59892,176,Drawing,Nepal,0
Hoffner,columbia.edu,Hian,64,55475,155,Poker,Nepal,0
Levenshtein,llnl.gov,Giorgio,45,51784,178,Soccer,Egypt,0
Chattergy,auth.gr,Maylis,48,57419,165,Basketball,Lesotho,0
Pierce,memphis.edu,Seungwang,21,54597,178,Drums,Singapore,0
Grundmann,ul.pt,Yuejun,41,50019,158,Photography,Barbados,0
Lafortune,unbc.ca,Kunihito,18,42184,173,Volleyball,Rwanda,0
Pangrle,co.jp,Somasundaram,46,37078,186,Football,Serbia,0
Kamber,berkeley.edu,Ryouichi,18,47400,164,Programming,Uzbekistan,0
Srihari,oracle.com,Herschel,53,55837,175,Piano,Samoa,0
Witteveen,uic.edu,Fuhua,38,62448,170,Swimming,Maldives,0
Adlassnig,emc.com,Aleksandr,21,63869,174,Drawing,Slovenia,0
Joeris,solidtech.com,Serge,38,54367,165,Basketball,Antigua and Barbuda,0
Masden,computer.org,Takenori,18,43916,165,Travelling,Colombia,0
Shallit,uni-muenchen.de,Huaxiong,36,50099,163,Basketball,Indonesia,0
Ducret,compaq.com,Bakhadyr,55,50023,157,Cinema,Colombia,0
McCluskey,msstate.edu,Milos,34,50165,167,Poker,Mauritius,0
Sidhu,computer.org,Efstathios,18,42363,168,Tennis,Burkina,0
Butterworth,arizona.edu,Sajee,18,39085,167,Soccer,Kazakhstan,0
Laubscher,mitre.org,Shriram,36,55875,156,Travelling,Panama,0
Diede,ac.be,Shirin,18,44889,185,Poker,Belize,0
Tiberghien,computer.org,Famory,23,36777,190,Cinema,Chile,0
Bahi,berkeley.edu,Kyle,20,46344,169,Sculpting,United Arab Emirates,0
Hisaki,bellatlantic.net,Saugata,29,57050,182,Hockey,Armenia,0
Terral,hitachi.com,Willy,21,48142,157,Writing,China,0
Vlachantonis,prc.com,Kriengkrai,47,69655,180,Reading,Ghana,0
Kurata,wpi.edu,Antoin,18,42409,167,Cinema,San Marino,0
Gust,poly.edu,Bertin,36,54408,164,Writing,Zambia,0
Chappell,savera.com,Bernice,31,53925,158,Soccer,Thailand,0
Cherinka,umd.edu,Niklaus,26,41708,164,Writing,Serbia,0
Willhoft,co.in,Aimee,32,48357,159,Singing,United States,0
Abellanas,poly.edu,Jackson,18,39850,177,Volleyball,Malaysia,0
Grab,ufl.edu,Serban,50,41453,187,Hockey,Micronesia,0
Gabbrieli,nyu.edu,Kishor,22,57970,174,Singing,Cuba,0
Slutz,hitachi.com,Ortwin,54,71868,171,Programming,New Zealand,0
Verbitsky,compaq.com,Amnon,25,62106,172,Running,Italy,0
Thiry,acm.org,Willard,37,54518,181,Drums,Montenegro,0
Mitsuhashi,brandeis.edu,Mino,18,54643,181,Volleyball,South Africa,0
Rifaut,crossgain.com,Sujoy,18,63966,160,Skating,Norway,0
Goil,ac.jp,Nicolas,33,42703,156,Volleyball,Guinea-Bissau,0
Macrosson,sbphrd.com,Juanita,46,43217,174,Skating,Netherlands,0
McMahan,newpaltz.edu,Jyoti,33,57653,170,Photography,Azerbaijan,0
Vries,rutgers.edu,Cesur,21,30230,182,Volleyball,Ghana,0
Lanet,twsu.edu,Arnaldo,51,46767,167,Poker,India,0
Hembry,crossgain.com,Ilham,22,46209,175,Gaming,Comoros,0
Belleghem,msstate.edu,Hironao,25,58041,174,Soccer,Panama,0
Piney,emc.com,Shigetomo,18,58911,177,Programming,Suriname,0
Rivest,ibm.com,Doru,54,37609,167,Volleyball,Vanuatu,0
Drenick,sun.com,Davi,30,51093,175,Skating,Kazakhstan,0
Erev,ucsd.edu,Kriton,50,47731,187,Swimming,Guatemala,0
Mattoso,sunysb.edu,Christa,24,52185,174,Cinema,Dominican Republic,0
Harloff,telcordia.com,Ghassan,38,42359,155,Hockey,Belize,0
Pusch,yahoo.com,Nitsan,24,41118,170,Swimming,Malawi,0
Minka,propel.com,Kosaburo,21,55723,176,Photography,Vanuatu,0
Guad,computer.org,Fintan,33,42571,176,Volleyball,Algeria,0
Reistad,imag.fr,Lidong,18,37449,162,Cinema,Israel,0
Colbourn,duke.edu,Rance,25,29095,155,Reading,Malaysia,0
Glanzel,sdsc.edu,Doreen,36,59756,162,Piano,Chad,0
Siler,unl.edu,Duri,31,47535,178,Painting,Guinea-Bissau,0
Jonsson,uni-mannheim.de,Eralp,58,49163,155,Basketball,Angola,0
Rothnie,bellatlantic.net,Otmar,18,31839,167,Writing,Canada,0
Wegenkittl,cwi.nl,Pil,30,41283,168,Travelling,Slovakia,0
Castellanos,savera.com,Andishe,21,20000,163,Soccer,Cyprus,0
Etiemble,bellatlantic.net,Shaun,31,48952,163,Singing,Switzerland,0
Kading,ac.kr,Surapol,21,49351,155,Guitar,Netherlands,0
Erva,twsu.edu,Makiki,29,51961,167,Blogging,France,0
Crouch,ucr.edu,Belen,47,44200,176,Singing,Ivory Coast,0
Adlassnig,clustra.com,Wojtek,43,56251,178,Piano,Mongolia,0
Osisek,ucf.edu,Elise,60,46816,173,Skating,Papua New Guinea,0
Crutchfield,forth.gr,Rufus,18,34385,158,Running,Togo,0
Meriem,ask.com,Natraj,34,57982,183,Soccer,Seychelles,0
Vollmeyer,poznan.pl,Joshua,55,63957,170,Piano,Belgium,0
Langtangen,brown.edu,Marcela,32,46634,178,Gaming,Uruguay,0
Stanica,cnr.it,Shigeaki,35,38409,160,Swimming,Fiji,0
Wolford,indiana.edu,Wei,25,62578,155,Tennis,Korea North,0
Okasaki,computer.org,Gradimir,18,48961,161,Travelling,Australia,0
Joersz,telcordia.com,Mizuho,18,53966,158,Painting,Maldives,0
Llana,microsoft.com,Patiwat,61,55493,185,Running,Denmark,0
Bergsten,airmail.net,Sakae,18,58641,159,Piano,Jordan,0
Capaccioli,temple.edu,Giulio,29,50729,163,Skating,Somalia,0
Hodel,rwth-aachen.de,Akinari,18,43087,155,Reading,Poland,0
Ruffin,unbc.ca,Paulette,37,33123,159,Singing,Central African Rep,0
Reid,monmouth.edu,Parris,51,43014,160,Programming,Albania,0
Boughanem,edu.cn,Milan,57,59387,164,Basketball,Sweden,0
Wessel,itc.it,Taenam,33,53824,155,Painting,Zimbabwe,0
Falby,edu.sg,Ernesto,18,41567,166,Reading,Tonga,0
Neuwirth,ualberta.ca,Winnie,43,57428,162,Tennis,Somalia,0
Morrey,unf.edu,Farzin,32,54622,155,Football,Armenia,0
Mahapatra,ntua.gr,Erick,34,43691,179,Piano,Kenya,0
Illies,filemaker.com,Theodoulos,21,47035,162,Football,Equatorial Guinea,0
Dorling,forth.gr,Berry,36,51469,161,Reading,Moldova,0
DiGiano,propel.com,Reini,18,47700,186,Poker,Hungary,0
Benson,uni-sb.de,Piyawadee,36,65940,155,Volleyball,Argentina,0
Bao,clarkson.edu,Pallavi,23,59005,193,Programming,Samoa,0
Murillo,ncr.com,Stylianos,18,48495,156,Poker,Equatorial Guinea,0
Olien,forwiss.de,Ghassan,26,51844,171,Volleyball,Denmark,0
Piveteau,cas.cz,Viviane,20,61404,168,Gaming,Sudan,0
Dur,ubs.com,Miles,22,45413,170,Programming,St Lucia,0
Struble,labs.com,Petro,32,63369,173,Guitar,Vatican City,0
Klawonn,broadquest.com,Gopal,38,47081,161,Swimming,Bolivia,0
Vrancken,unl.edu,Winnie,18,44288,175,Soccer,Czech Republic,0
Czyzowicz,tue.nl,Margarida,30,42897,178,Soccer,Czech Republic,0
Aschim,cwru.edu,Christi,21,58384,162,Soccer,Luxembourg,0
Cheriyan,poznan.pl,Joaquim,29,44581,174,Tennis,India,0
Usery,wisc.edu,Ilya,42,72538,193,Blogging,Norway,0
Isbell,unical.it,Petro,21,59067,177,Blogging,Jordan,0
Geffroy,msstate.edu,Duncan,27,50947,181,Skating,South Africa,0
Vrajitoru,filelmaker.com,Ersan,37,76395,165,Travelling,Egypt,0
Seibert,umich.edu,Chirstian,33,44908,177,Basketball,Liberia,0
Mutschke,concordia.ca,Adham,36,42748,171,Blogging,Angola,0
Menezes,memphis.edu,Vigyan,66,24661,164,Piano,Liberia,0
Shimojo,panasonic.com,Jianghong,27,54495,168,Volleyball,Sudan,0
Corno,ucdavis.edu,Dinkar,18,52359,155,Skating,Latvia,0
Lust,unbc.ca,Chrisila,18,66818,165,Blogging,Seychelles,0
Fuhrman,nodak.edu,Sanjaya,37,38840,159,Basketball,Liechtenstein,0
Rauch,rutgers.edu,Twan,18,43187,155,Gaming,Pakistan,0
Lamma,wisc.edu,Wael,18,47609,171,Cinema,United Kingdom,0
Guenter,sdsc.edu,Nobu,39,38608,183,Running,Samoa,0
Budimac,arizona.edu,Shalom,34,55050,155,Gaming,Guyana,0
Trystram,uwo.ca,Shepherd,22,45273,158,Painting,Germany,0
Lipponen,ubs.com,Teageun,34,53879,167,Writing,Namibia,0
Rusinkiewicz,mitre.org,Zhilin,46,68480,164,Blogging,Azerbaijan,0
Kinnen,auth.gr,Atanas,18,44805,163,Painting,Syria,0
Czajkowski,unical.it,Loic,18,44281,165,Swimming,Cameroon,0
Mosberger,ntua.gr,Ashley,30,46992,181,Tennis,Papua New Guinea,0
Tapken,brandeis.edu,Erin,44,57007,177,Writing,Kuwait,0
Lokketangen,umb.edu,Chunming,23,45263,192,Photography,Angola,0
Carboni,umich.edu,Miranda,18,40903,160,Poker,Mexico,0
Goel,uni-marburg.de,Karama,45,49294,175,Sculpting,Hungary,0
Pohl,uni-muenchen.de,Djordje,35,50070,178,Writing,East Timor,0
Wacholder,indiana.edu,Zvonko,22,47937,163,Soccer,Chile,0
Morreau,mit.edu,Bertha,43,43397,159,Cinema,Djibouti,0
Cenzer,ou.edu,Pum,41,30867,167,Guitar,Italy,0
Gosling,ucdavis.edu,Jeffry,21,54368,172,Singing,Jamaica,0
Pietrzak,bell-labs.com,Hala,22,40157,171,Basketball,Dominica,0
Prete,uwaterloo.ca,Jitian,31,40578,178,Writing,Lebanon,0
Zilles,auth.gr,Terrence,40,45529,179,Programming,San Marino,0
Ikehara,yorku.ca,Kanna,40,37306,173,Programming,Haiti,0
Kunchithapadam,unical.it,Yasemin,34,40042,170,Drawing,Iceland,0
Pezze,sybase.com,Mischa,30,57623,166,Skating,Macedonia,0
Brattka,utexas.edu,Ponnarasu,33,40999,163,Swimming,Brazil,0
Poehlman,neu.edu,Rene,18,54953,174,Swimming,Spain,0
Poujol,cmu.edu,Akihiko,33,39820,164,Blogging,Serbia,0
Shemesh,twsu.edu,Adham,25,48138,179,Sculpting,Angola,0
Yano,co.jp,Xingwei,38,55276,179,Hockey,Czech Republic,0
Poupard,clustra.com,Gotz,48,49445,167,Poker,United States,0
Lakshmipathy,wisc.edu,Norio,22,48459,165,Guitar,Korea South,0
Dalamages,unf.edu,Vamsi,18,71761,167,Travelling,Tajikistan,0
Dams,smu.edu,Pratul,18,46925,155,Running,Seychelles,0
Mulatero,forwiss.de,Narayana,18,38220,170,Blogging,Iceland,0
Creecy,cwru.edu,Lluis,24,51890,155,Swimming,Serbia,0
Rebizant,uni-sb.de,Dietmar,32,54833,171,Guitar,Tonga,0
Marchuk,wpi.edu,Atish,18,39120,172,Blogging,Sierra Leone,0
